BASIX,8079.0
CHIPS,5711.0
WEBEL,0.0
SPANCO,0.0
Akshaya,14562.0
CSC SPV,173192.0
DC Mamit,674.0
DC Siaha,612.0
DC Wokha,27.0
EDCS GOK,845.0
UIDAI-EA,18.0
Wipro Ltd,39619.0
ADC BOLENG,2.0
Asray Gram,69.0
DC Lunglei,1186.0
DDSE Lohit,104.0
EAC LEKANG,40.0
DC Serchhip,1067.0
DFCSO  Tezu,16.0
Jamnagar MC,230.0
Junagadh MC,10.0
Computer LAB,21823.0
Om Softwares,272.0
SRR Infotech,804.0
APEX Services,109.0
BHAVANAGAR MC,67.0
D.C. Champhai,561.0
AISECT Limited,6505.0
Binary Systems,141.0
CDPO Tezu ICDS,66.0
CO JOMLO MOBUK,8.0
Computer Print,240.0
DC office Aalo,249.0
SAR Technology,102.0
SARADA SYSTEMS,1745.0
Super Printers,1725.0
Alankit Limited,3861.0
DIT Lakshadweep,0.0
DSO STAT NAMSAI,50.0
MKS Enterprises,254.0
Yuvaan Infotech,737.0
APOnline Limited,305.0
AS International,105.0
Enrolment Agency,
HI-TECH CONTROLS,394.0
MPOnline Limited,17020.0
SETU MAHARASHTRA,9.0
Aayam Enterprises,91.0
BNR UDYOG LIMITED,238.0
CMS Computers Ltd,13126.0
S.J. Technologies,9.0
SGS INDIA PVT LTD,4121.0
Shubh Enterprises,445.0
Tera Software Ltd,179.0
VAP INFOSOLUTIONS,479.0
VIKALP MULTIMEDIA,1.0
Alankit Finsec Ltd,1.0
Amar Constructions,5433.0
Directorate of ESD,5514.0
Mahaonline Limited,718.0
Mahisagar Lunawala,22.0
Ojus G Enterprises,88.0
Pariza Enterprises,3.0
SNR Edatas Pvt Ltd,17.0
Smart Chip Limited,16.0
Transmoovers India,5.0
Viesa Technologies,6.0
Abhipra Capital Ltd,79.0
Agro Tech Engineers,1055.0
Circle Officer Toru,15.0
EAC FI DA CHONGKHAM,58.0
Ricoh India Limited,2.0
UT of Daman and Diu,53.0
United Telecoms Ltd,1383.0
IAP COMPANY Pvt. Ltd,10644.0
M/S STAR DATA CENTRE,76.0
M/s Sanish Choudhary,358.0
M2C Private Solution,61.0
MEGHA VINCOM PVT LTD,325.0
Multiwave Innovation,9.0
Raj Construction Co.,532.0
State Health Society,237.0
Urmila Info solution,180.0
A-Onerealtors Pvt Ltd,2034.0
Administration of DNH,64.0
CIRCLE OFFICER PIYONG,103.0
E-Seva Society Amreli,823.0
Estex Telecom Pvt Ltd,1894.0
Gujarat Infotech Ltd.,1677.0
Mahamritunjay Traders,2885.0
Pho-com-net Pvt. Ltd.,15.0
SRM Techsol Pvt. Ltd.,119.0
Utility Forms Pvt Ltd,3592.0
VIRGO SOFTECH LIMITED,718.0
Yashi Informatics LLP,5.0
77 Infosystems Pvt Ltd,99.0
AKSH OPTIFIBRE LIMITED,16624.0
Blue Circle Instrument,97.0
E-Seva Society Arvalli,640.0
IPS e Services Pvt Ltd,2218.0
MACRO INFOTECH PVT LTD,8.0
Vayam technologies Ltd,480.0
Zephyr System Pvt.Ltd.,6946.0
AVVAS INFOTECH PVT  LTD,2008.0
Bloom Solutions Pvt Ltd,2072.0
E-Seva Society Jamnagar,626.0
E-Seva Society Junagadh,435.0
M/s. Vidya Online  Pune,113.0
Matrix Processing House,2075.0
PROTEX COMPUTER PVT LTD,2180.0
RELIGARE SECURITIES LTD,2917.0
SREEVEN INFOCOM LIMITED,37.0
TechSmart India Pvt Ltd,2.0
Yash Ornaments Pvt. Ltd,424.0
e-Seva Society UID Dang,182.0
Conatus Infocom Pvt. Ltd,477.0
District IT Society Jind,1.0
E-Seva Society Bhavnagar,1136.0
E-Seva Society Porbandar,2.0
E-Seva Society UID Patan,283.0
Frontech Systems Pvt Ltd,216.0
Janta Silikon Consortium,1194.0
Layman Education Society,527.0
M/s. Goa Electronics Ltd,976.0
NVR & ASSOCIATES LIMITED,356.0
Nekton IT India Pvt Ltd.,4837.0
Netlink software Pvt Ltd,4832.0
Patel Computer Education,32.0
Twinstar Industries Ltd.,4806.0
VEETECHNOLOGIES PVT. LTD,9922.0
Vedavaag Systems Limited,6232.0
WEBEL TECHNOLOGY LIMITED,1467.0
Compro Systems & Services,62.0
Dist E-seva Society Anand,872.0
District IT Society Hisar,132.0
District IT Society Mewat,134.0
District IT Society Sirsa,235.0
India Computer Technology,264.0
JNET Technologies Pvt.Ltd,69.0
Jilla E-seva Sadan  Dahod,1336.0
LYRA  CONSULTANCY SERVICE,3685.0
NPS Technologies Pvt. Ltd,9692.0
Offshoot Agency Pvt. Ltd.,91.0
Osiris Infotech Pvt. Ltd.,816.0
Prakash Computer Services,2817.0
Rajcomp Info Services Ltd,20163.0
UMC Technologies Pvt. Ltd,31.0
Virinchi Technologies Ltd,711.0
ATISHAY INFOTECH PVT. LTD.,227.0
Advent Infomax Private Ltd,183.0
CHESSY CONSULTANTS PVT LTD,133.0
Digitcom Systems Pvt. Ltd.,1378.0
Dist. E-seva Society Morbi,731.0
District IT Society Ambala,72.0
District IT Society Karnal,168.0
District IT Society Palwal,102.0
District IT Society Rewari,134.0
District IT Society Rohtak,145.0
E-Seva Society UID Bharuch,1293.0
EAC OFFICE KAYING/CO PAYUM,21.0
Emdee Digitronics Pvt.Ltd.,2078.0
Home Life Buildcon Pvt Ltd,5313.0
HyperSoft Technologies Ltd,33.0
